time,D_u,D_v,D_w,D_q,D_r,desired_u,u,desired_theta,theta,desired_psi,psi,u_error,theta_error,psi_error,tau_{u},tau_{q},tau_{r}
6.5,-0.200897870597862,1.68724319071579,6.06688814024843,-1.06742847020909,-1.32993578071319,1,1.00122338539297,-0.349065850398866,-0.350015365079142,-2.0943951023932,-2.09436774974462,-0.001223385392973,0.000949514680276,-2.73526485798925E-05,15.4838174581528,-33.8011831045151,1.47676141932607
6.6,-0.320013813361878,1.13486381849258,5.96579825037097,-1.21458327969226,-1.13838789557292,1,0.998283462654261,-0.349065850398866,-0.350723045184458,-2.0943951023932,-2.09389285818818,0.001716537345739,0.001657194785593,-0.000502244205019,13.8510137796402,-29.320952296257,1.49056315422058
6.7,-0.398937288442563,0.59567646390442,5.82523119338562,-1.30282765636671,-0.88897390054405,1,0.998340355568743,-0.349065850398866,-0.349559465084573,-2.0943951023932,-2.09313094211963,0.001659644431257,0.000493614685707,-0.001264160273563,14.5408362150192,-33.4519416093826,-0.499265687540174
6.8,-0.443315675764611,0.075507897699363,5.64680731995581,-1.33191713030288,-0.59158829332333,1,1.00209081698723,-0.349065850398866,-0.350048967962344,-2.0943951023932,-2.09353412626467,-0.002090816987228,0.000983117563478,-0.000860976128529,15.3866276144981,-32.0194244384766,1.43464682623744
6.9,-0.459466457855375,-0.420232731553081,5.43240606634113,-1.30274871202025,-0.257053014616901,1,1.00320931912539,-0.349065850398866,-0.350225915036697,-2.0943951023932,-2.09317209293119,-0.003209319125388,0.001160064637831,-0.001223009462009,14.9074509739876,-31.7180633544922,-1.36828506365418
7,-0.454169472886785,-0.886611631602975,5.18414965452115,-1.21732882794149,0.103148614139068,1,0.998305765467626,-0.349065850398866,-0.350164563531887,-2.0943951023932,-2.09413900851498,0.001694234532374,0.001098713133021,-0.000256093878217,13.6030673980713,-30.2420079708099,1.43135078251362
7.1,-0.434453931979238,-1.31922075804338,4.9043850877203,-1.07872275552836,0.47714647711353,1,0.999677042241417,-0.349065850398866,-0.349295273890466,-2.0943951023932,-2.09374935538155,0.000322957758583,0.0002294234916,-0.000645747011646,14.8639991879463,-34.4890922307968,-1.12971412017941
7.2,-0.407385510751622,-1.71422033615066,4.59566458807229,-0.890986569495609,0.852960722881348,1,1.00115441508974,-0.349065850398866,-0.350261010335576,-2.0943951023932,-2.09398446605412,-0.001154415089735,0.00119515993671,-0.000410636339071,14.8762553930283,-30.1689177751541,0.12432417133823
7.3,-0.379858729743932,-2.06837309772475,4.26072463430574,-0.659082890185856,1.2187753070954,1,0.99915933277414,-0.349065850398866,-0.349440061235536,-2.0943951023932,-2.09349246466584,0.000840667225861,0.00037421083667,-0.000902637727355,14.1299813985825,-34.1502368450165,-2.24680546671152
7.4,-0.358399622651438,-2.37906993343739,3.90246376721079,-0.388781982016027,1.56320222079237,1,1.00086928201966,-0.349065850398866,-0.350051071066578,-2.0943951023932,-2.09399739781827,-0.000869282019661,0.000985220667712,-0.00039770457493,14.8695036768913,-32.0146441459656,-1.07784466817975
